Strategic Goal,Major CNAPP Area,Guided Questions,Multiple Choice Answers,Weighting Score (Maturity)
Cloud Adoption and Business Alignment,Unified Visibility,How well is cloud adoption aligned with your business strategy?,"a) Not at all, b) Slightly, c) Moderately, d) Strongly, e) Completely",1-5
Cloud Adoption and Business Alignment,Unified Visibility,What level of visibility do you currently have across cloud environments?,"a) No visibility, b) Limited, c) Moderate, d) High, e) Complete visibility",1-5
Cloud Adoption and Business Alignment,Unified Visibility,How often are cloud resources reviewed for security and compliance?,"a) Never, b) Annually, c) Semi-annually, d) Quarterly, e) Continuously",1-5
Cloud Adoption and Business Alignment,Unified Visibility,Who in the organization is responsible for ensuring cloud visibility?,"a) No one, b) IT team, c) Security team, d) Multiple teams, e) Dedicated team",1-5
Cloud Adoption and Business Alignment,Unified Visibility,How confident are you in your cloud security visibility capabilities?,"a) Not confident, b) Somewhat confident, c) Neutral, d) Confident, e) Very confident",1-5
Achieving Key Business Outcomes,Offensive Security Engine,How are you measuring cloud security impact on key business outcomes?,"a) Not measuring, b) Basic metrics, c) ROI metrics, d) Business-driven KPIs, e) Fully integrated business impact analysis",1-5
Achieving Key Business Outcomes,Offensive Security Engine,Do you have processes in place for offensive security testing of cloud environments?,"a) None, b) Ad-hoc, c) Basic, d) Regular, e) Continuous",1-5
Achieving Key Business Outcomes,Secrets Scanning,Are there processes in place to detect and remediate cloud secrets exposure?,"a) None, b) Ad-hoc, c) Basic processes, d) Regular scanning, e) Automated and continuous monitoring",1-5
Achieving Key Business Outcomes,Secrets Scanning,How critical is the identification of exposed secrets to your business objectives?,"a) Not critical, b) Slightly critical, c) Moderately critical, d) Highly critical, e) Extremely critical",1-5
Achieving Key Business Outcomes,Offensive Security Engine,How effective are your current offensive security measures in the cloud?,"a) Not effective, b) Limited, c) Moderately effective, d) Highly effective, e) Fully effective",1-5
Achieving Key Business Outcomes,Secrets Scanning,How often do you assess the validity of cloud secrets in your environment?,"a) Never, b) Annually, c) Semi-annually, d) Quarterly, e) Continuously",1-5
Maximizing ROI for Cloud Security,AI-Powered Threat Detection and Response,How are cloud security investments evaluated for return on investment (ROI)?,"a) Not evaluated, b) Limited analysis, c) ROI calculated annually, d) ROI linked to key objectives, e) Fully integrated ROI assessment",1-5
Maximizing ROI for Cloud Security,AI-Powered Threat Detection and Response,What metrics do you use to assess the efficiency of your cloud security program?,"a) None, b) Ad-hoc metrics, c) Basic security metrics, d) Comprehensive security metrics, e) Business-aligned metrics",1-5
Maximizing ROI for Cloud Security,AI-Powered Threat Detection and Response,How do you determine the cost-effectiveness of your current cloud security measures?,"a) No process, b) Limited analysis, c) Cost vs benefit analysis, d) Business impact analysis, e) Fully integrated cost-effectiveness assessment",1-5
Maximizing ROI for Cloud Security,AI-Powered Threat Detection and Response,What level of automation do you use to reduce the cost of cloud security?,"a) None, b) Limited, c) Moderate, d) High, e) Fully automated",1-5
Maximizing ROI for Cloud Security,AI-Powered Threat Detection and Response,How often is your cloud security efficiency reviewed to ensure alignment with ROI?,"a) Never, b) Annually, c) Semi-annually, d) Quarterly, e) Continuously",1-5
Integration of Cloud Security with Business Strategy,Unified Platform and Data Lake,How integrated is cloud security within your IT and business strategies?,"a) Not integrated, b) Limited integration, c) Partially integrated, d) Mostly integrated, e) Fully integrated",1-5
Integration of Cloud Security with Business Strategy,Unified Platform and Data Lake,What mechanisms exist to streamline data visibility across security domains?,"a) None, b) Manual methods, c) Basic integration, d) Mostly integrated solutions, e) Fully automated and integrated visibility",1-5
Integration of Cloud Security with Business Strategy,Unified Platform and Data Lake,How often is cloud security strategy reviewed and updated to align with business goals?,"a) Never, b) Annually, c) Semi-annually, d) Quarterly, e) Continuously",1-5
Integration of Cloud Security with Business Strategy,Unified Platform and Data Lake,How well are cloud security initiatives funded and resourced within your organization?,"a) Not funded, b) Poorly funded, c) Adequately funded, d) Well funded, e) Fully funded",1-5
Integration of Cloud Security with Business Strategy,Unified Platform and Data Lake,Is there a dedicated team to ensure integration of cloud security within business initiatives?,"a) No, b) Ad-hoc, c) Limited team, d) Well-resourced team, e) Fully dedicated team",1-5
